,F65,F64,F67,F66,F69,F68,F107,F94,F95,F109,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F110,F121,F114,F115,F61,F88,F41,F40,F43,F42,F45,F128,F36,F130,F131,F132,F133,F134,F39,F135,F136,F137,F83,F74,F16,F12,F2,F18,F14,F1,F5,F9,F10,F19,F15,F8,F11,F71,category,1
0,0.35924226,-0.6512249,-0.569387,-0.8318135,-0.47047913,-0.84985125,-0.3726534,-0.7620944,0.052302018,-1.1766456,-0.88717073,-0.96947056,0.22830538,-0.7620944,0.05230195,0.21042407,1.7505759,-0.9256777,-0.036545772,-2.0908487,-0.94900835,-1.6726832,2.4960704,1.5003821,-0.44626385,0.77148145,-0.49926883,-0.24066998,-0.178356,-0.38885123,-0.36895445,-0.33305746,-0.17334665,-2.4392238,-0.9311976,-0.911647,-0.5199973,-0.79632694,-0.08735253,-0.80101824,-1.144233,-1.8839823,-0.53945327,-0.5394198,-0.5138059,-0.39286152,-0.2680389,-0.3384457,-0.3809553,-0.39573193,-0.29475316,-0.1295937,-0.040422603,-0.05721295,-0.5440433,-0.14719607,-0.34536666,-0.3703656,1,0.9975508932659675
1,0.35924226,-0.6512249,-0.569387,-0.8318135,-0.47047913,-0.84985125,-0.3726534,-0.7620944,0.052302018,-0.8848052,-0.88717073,-0.96947056,1.5362606,-0.7620944,0.05230195,1.5402172,1.7505759,-1.0091739,-0.14218709,-2.0908487,-1.0331959,-1.6726832,2.4960704,1.5003821,-0.44626385,0.77148145,-0.49926883,-0.24066998,-0.178356,-0.38885123,-0.36895445,-0.33305746,-0.17334665,-2.4392238,-0.9311976,-0.911647,-0.5199973,-0.79632694,-0.08735253,-0.80101824,-1.144233,-1.8839823,-0.53945327,-0.5394198,-0.5138059,-0.39286152,-0.2680389,-0.3384457,-0.3809553,-0.39573193,-0.29475316,-0.1295937,-0.040422603,-0.05721295,-0.5440433,-0.14719607,-0.34536666,-0.3703656,1,0.9995062636347687
2,0.35924226,-0.6512249,-0.569387,-0.8318135,-0.47047913,-0.84985125,-0.3726534,-0.7620944,0.052302018,-0.8848052,-0.88717073,-0.96947056,1.5362606,-0.7620944,0.05230195,1.5402172,1.7505759,-1.0091739,-0.14218709,-2.0908487,-1.0331959,-1.6726832,2.4960704,1.5003821,-0.44626385,0.77148145,-0.49926883,-0.24066998,-0.178356,-0.38885123,-0.36895445,-0.33305746,-0.17334665,-2.4392238,-0.9311976,-0.911647,-0.5199973,-0.79632694,-0.08735253,-0.80101824,-1.144233,-1.8839823,-0.53945327,-0.5394198,-0.5138059,-0.39286152,-0.2680389,-0.3384457,-0.3809553,-0.39573193,-0.29475316,-0.1295937,-0.040422603,-0.05721295,-0.5440433,-0.14719607,-0.34536666,-0.3703656,1,0.9995062636347687
3,-0.5895321,-0.771038,-0.569387,-1.0439308,-0.31567305,-1.0523226,0.16201372,-0.8320448,-0.87700605,-0.009283644,0.48096928,0.5312503,0.22830538,-0.83204484,-0.87700605,0.21042407,1.7505759,-0.62747735,-0.4143329,-0.3238956,-0.6182716,0.7352128,2.4960704,1.5003821,-0.5406707,-0.031746924,-0.49926883,-0.24066998,-0.178356,-0.38885123,-0.36895445,-0.39222693,-0.17334665,-0.08835452,1.5105997,-0.94376713,-1.1646329,-0.85131174,-0.08735253,-1.0200937,-0.7012839,2.6423461,1.6554317,1.6552248,-0.5138059,-0.39286152,-0.2680389,-0.3384457,-0.3809553,-0.39573193,-0.29475316,-0.1295937,-0.040422603,-0.05721295,-0.5440433,-0.14719607,-0.34536666,-0.9096391,1,0.9984603244674787
4,0.109564826,-0.80008364,1.6431912,-0.9119467,2.625642,-0.6811251,-0.3726534,-0.65716875,1.446264,-1.2496058,-2.2553108,-0.96947056,0.22830538,-0.65716875,1.4462639,0.21042407,1.7505759,1.3287169,-0.08766253,0.113132976,1.3240548,-1.2637951,1.187976,0.6910036,0.8439638,-0.72690207,-0.49926883,-0.24066998,-0.178356,-0.38885123,-0.36895445,0.12550588,-0.17334665,-0.66576105,0.9130868,-0.68543905,-0.659635,-0.66048217,-0.08735253,-0.6864808,-0.6530113,1.7418808,-0.5645257,-0.5644895,-0.5138059,-0.39286152,-0.2680389,-0.3384457,-0.3809553,-0.39573193,-0.29475316,-0.1295937,-0.040422603,-0.05721295,-0.5440433,-0.14719607,-0.34536666,0.7081813,1,0.9977241762372863
5,0.109564826,-0.80008364,1.6431912,-0.9119467,0.14874512,-0.6811251,-0.3726534,-0.65716875,1.446264,-1.1766456,-0.88717073,-0.96947056,0.22830538,-0.65716875,1.4462639,0.21042407,-0.9254915,-0.9256777,-0.036545772,-2.0908487,-0.94900835,-1.6726832,1.187976,0.6910036,3.70764,0.70872927,-0.49926883,-0.24066998,-0.178356,-0.38885123,-0.36895445,0.12550588,-0.17334665,-0.66576105,0.9130868,-0.68543905,-0.659635,-0.66048217,-0.08735253,-0.6864808,-0.6530113,1.7418808,-0.5645257,-0.5644895,-0.5138059,-0.39286152,-0.2680389,-0.3384457,-0.3809553,-0.39573193,-0.29475316,-0.1295937,-0.040422603,-0.05721295,-0.5440433,-0.14719607,-0.34536666,1.7867283,0,0.01104029796074145
6,0.109564826,-0.80008364,1.6431912,-0.9119467,0.9227754,-0.6811251,-0.3726534,-0.65716875,1.446264,-0.009283644,-1.5712407,-0.96947056,0.22830538,-0.65716875,1.4462639,0.21042407,-0.9254915,-0.62747735,-0.4143329,-0.3238956,-0.6182716,0.7352128,1.187976,0.6910036,4.9349294,1.4331688,-0.49926883,-0.24066998,-0.178356,-0.38885123,-0.36895445,0.12550588,-0.17334665,-0.66576105,0.9130868,-0.68543905,-0.659635,-0.66048217,-0.08735253,-0.6864808,-0.6530113,1.7418808,-0.5645257,-0.5644895,-0.5138059,-0.39286152,-0.2680389,-0.3384457,-0.3809553,-0.39573193,-0.29475316,-0.1295937,-0.040422603,-0.05721295,-0.5440433,-0.14719607,-0.34536666,3.943822,0,0.004110175889236155
7,0.109564826,-0.80008364,1.6431912,-0.9119467,-0.47047913,-0.6811251,-0.3726534,-0.65716875,1.446264,-0.5929647,0.48096928,0.5312503,-1.0796498,-0.65716875,1.4462639,-1.119369,0.4125422,1.0573546,0.15438141,2.5155716,1.0504453,-1.1274992,1.187976,0.6910036,4.9349294,1.4331688,-0.49926883,-0.24066998,-0.178356,-0.38885123,-0.36895445,0.12550588,-0.17334665,-0.66576105,0.9130868,-0.68543905,-0.659635,-0.66048217,-0.08735253,-0.6864808,-0.6530113,1.7418808,-0.5645257,-0.5644895,1.9089866,-0.39286152,-0.2680389,-0.3384457,-0.3809553,-0.39573193,-0.29475316,-0.1295937,-0.040422603,-0.05721295,1.8380892,-0.14719607,-0.34536666,3.943822,0,0.6609772521626751
8,0.109564826,-0.80008364,1.6431912,-0.9119467,-0.47047913,-0.6811251,-0.3726534,-0.65716875,1.446264,-1.3225659,-0.2031007,0.5312503,0.22830538,-0.65716875,1.4462639,0.21042407,1.7505759,0.32676378,-0.3083571,-0.3238956,0.31380454,0.7352128,1.187976,0.6910036,-0.3833259,-1.6640017,-0.49926883,-0.24066998,-0.178356,-0.38885123,-0.36895445,0.12550588,-0.17334665,-0.66576105,0.9130868,-0.68543905,-0.659635,-0.66048217,-0.08735253,-0.6864808,-0.6530113,1.7418808,-0.5645257,-0.5644895,-0.5138059,-0.39286152,-0.2680389,-0.3384457,-0.3809553,-0.39573193,-0.29475316,-0.1295937,-0.040422603,-0.05721295,-0.5440433,-0.14719607,-0.34536666,0.16890785,1,0.9963043107013877
9,0.109564826,-0.80008364,1.6431912,-0.9119467,-0.47047913,-0.6811251,-0.3726534,-0.65716875,1.446264,-0.5929647,0.48096928,0.5312503,-1.0796498,-0.65716875,1.4462639,-1.119369,0.4125422,1.0573546,0.15438141,2.5155716,1.0504453,-1.1274992,1.187976,0.6910036,4.9349294,1.4331688,-0.49926883,-0.24066998,-0.178356,-0.38885123,-0.36895445,0.12550588,-0.17334665,-0.66576105,0.9130868,-0.68543905,-0.659635,-0.66048217,-0.08735253,-0.6864808,-0.6530113,1.7418808,-0.5645257,-0.5644895,1.9089866,-0.39286152,-0.2680389,-0.3384457,-0.3809553,-0.39573193,-0.29475316,-0.1295937,-0.040422603,-0.05721295,1.8380892,-0.14719607,-0.34536666,3.943822,0,0.6609772521626751
