,F67,F104,F116,F117,F121,F115,F70,F40,F130,F1,F71,category,1
0,-0.15607703,-0.57322943,0.45327014,-0.5315504,-0.08734065,-0.3213848,0.15407492,-0.77780867,-0.5368253,1.1980149,-0.8289416,0,0.0003088156742034259
1,-0.15607703,-0.57322943,1.4555937,0.57373697,1.7287908,-0.3213848,0.15407492,-0.77780867,-0.5368253,-0.62333846,-0.8289416,0,0.011172352515295443
2,-0.605991,2.351365,-0.54905343,-0.5315504,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,2.895984962848689e-05
3,-0.605991,2.351365,-0.54905343,-0.5315504,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,2.895984962848689e-05
4,-0.605991,2.351365,-0.54905343,-0.5315504,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,2.895984962848689e-05
5,-0.605991,2.351365,-0.54905343,-0.5315504,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,2.895984962848689e-05
6,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
7,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
8,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
9,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
10,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
11,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
12,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
13,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
14,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
15,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
16,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
17,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
18,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
19,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
20,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
21,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
22,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
23,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
24,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
25,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
26,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
27,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
28,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
29,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
30,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
31,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
32,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
33,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
34,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
35,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
36,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
37,-0.605991,2.351365,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.03577346025457e-05
