,F72,F25,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F10-NA,F94,F95,F109,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F74,F73,F84,F146,F16,F3,F7,F12,F17,F2,F6,F13,F18,F14,F1,F5,F9,F15,F4,F8,F11,F71,category,1
0,0.597168,0.6192137,-0.32682276,-0.85719776,1.0674683,-0.15607703,-0.5045649,1.0524594,-0.25872412,0.60358304,-0.3787355,-0.6694225,-0.3581017,-0.57322943,0.11940769,-0.18854019,-3.1252398,0.0,0.9941797,-0.757438,-0.9494496,0.39412537,0.6739104,-0.5854212,0.99417984,-0.75743806,-0.45226222,0.45327014,-0.5315504,-0.37150404,-0.51749504,0.32973,-0.5315504,-0.08734065,-1.7468706,0.32973,-0.13757694,-0.3213848,-0.31651577,0.15407497,0.18249252,0.15407492,1.081942,-0.77780867,1.0877885,0.7176568,1.0874087,1.086653,0.21152742,-0.6396623,-0.36810756,-0.25229704,-0.5376721,-0.3046085,-0.5368253,-0.61993825,0.866077,-0.3260638,1.0734082,-0.24984567,1.0689131,1.0876768,-0.6117761,1.0753267,1.0769768,0.52665126,-0.10178552,-0.089110635,0.0,-0.80753475,-0.7992249,-0.2926352,1.0913514,-0.3223858,-0.22256665,-0.20934352,3.757879,-0.3367336,-0.21908905,-0.061898455,-0.21908905,1.1980149,-0.3440133,-0.061898444,-0.30526212,3.6464417,-0.050507616,-0.21834165,-0.8289416,0,0.0001171088404090978
1,0.597168,0.6192137,-0.44055477,-0.85719776,1.0674683,-0.15607703,1.5687106,1.0524594,-0.25872412,0.60358304,1.1341069,-0.6694225,-0.3581017,-0.57322943,1.2187127,-0.18854019,0.3199755,0.0,0.9941797,-0.757438,-0.039196655,0.6133628,0.6739104,-0.5854212,0.99417984,-0.75743806,-0.5862196,1.4555937,0.57373697,0.530955,1.4745483,-1.2152728,0.5737369,1.7287908,0.16114898,-1.2152728,-0.13757694,-0.3213848,-0.31651577,0.15407497,0.18249252,0.15407492,1.081942,-0.77780867,1.0877885,0.7176568,1.0874087,1.086653,0.21152742,-0.6396623,-0.36810756,-0.25229704,-0.5376721,-0.3046085,-0.5368253,-0.61993825,0.866077,-0.3260638,1.0734082,-0.24984567,1.0689131,1.0876768,-0.6117761,1.0753267,1.0769768,0.52665126,-0.10178552,-0.089110635,0.0,-0.80753475,-0.7992249,3.4172237,1.0913514,-0.3223858,-0.22256665,4.7768383,3.757879,-0.3367336,-0.21908905,-0.061898455,-0.21908905,-0.62333846,-0.3440133,16.155495,3.2758727,3.6464417,-0.050507616,-0.21834165,-0.8289416,0,0.012099082954527328
2,1.0112346,0.98726386,-0.1751801,1.8879957,1.0674683,-0.605991,0.97634614,1.0524594,0.85709035,0.60358304,-0.22174104,1.2376341,3.5886726,2.351365,0.04088581,-0.18854019,0.3199755,0.0,0.9941797,0.046836965,-0.8911,0.6133628,0.6739104,-0.049750574,0.99417984,0.04683696,-0.05039022,-0.54905343,-0.5315504,-0.37150404,-0.33675015,0.8670261,-0.5315504,-0.45056695,0.74823207,0.8670261,-0.13757694,-0.3213848,1.687093,0.64405185,0.61868346,0.64405185,1.081942,2.6920524,1.0877885,0.7176568,1.0874087,1.086653,0.21152742,1.4977403,3.1450884,4.010237,3.217386,3.1317914,-0.25265446,1.9748315,1.8513548,3.9737043,1.0734082,4.0108366,1.0689131,1.0876768,1.6987131,1.0753267,1.0769768,0.52665126,-0.6228499,-0.6411676,0.0,-0.80753475,-0.7992249,3.4172237,-0.56463736,-0.3223858,-0.22256665,4.7768383,-0.24441491,-0.3367336,-0.21908905,-0.061898455,-0.21908905,-0.62333846,-0.3440133,-0.061898444,3.2758727,-0.2530184,-0.050507616,-0.21834165,2.2545798,0,3.639651421119008e-05
3,1.0112346,0.98726386,-0.1751801,1.8879957,1.0674683,-0.605991,0.97634614,1.0524594,0.85709035,0.60358304,-0.13332143,1.2376341,3.5886726,2.351365,0.04088581,-0.18854019,0.3199755,0.0,0.9941797,0.046836965,-0.8911,0.6133628,0.6739104,-0.049750574,0.99417984,0.04683696,-0.05039022,-0.54905343,-0.5315504,-0.37150404,-0.33675015,0.8670261,-0.5315504,-0.45056695,0.74823207,0.8670261,-0.13757694,-0.3213848,1.687093,0.64405185,0.61868346,0.64405185,1.081942,2.6920524,1.0877885,0.7176568,1.0874087,1.086653,0.21152742,1.4977403,3.1450884,4.010237,3.217386,3.1317914,-0.25265446,1.9748315,1.8513548,3.9737043,1.0734082,4.0108366,1.0689131,1.0876768,1.6987131,1.0753267,1.0769768,0.52665126,-0.6228499,-0.6411676,0.0,-0.80753475,-0.7992249,-0.2926352,-0.56463736,-0.3223858,-0.22256665,-0.20934352,-0.24441491,-0.3367336,-0.21908905,-0.061898455,-0.21908905,-0.62333846,-0.3440133,-0.061898444,-0.30526212,-0.2530184,-0.050507616,-0.21834165,2.2545798,0,1.9229221764464073e-05
4,1.0112346,0.98726386,-0.1183141,1.8879957,1.0674683,-0.605991,0.97634614,1.0524594,1.1360439,0.60358304,-0.18073483,1.2376341,3.5886726,2.351365,0.24873768,-0.18854019,0.3199755,0.0,0.9941797,0.046836965,-0.8911,0.6133628,0.6739104,-0.049750574,0.99417984,0.04683696,-0.05039022,-0.54905343,-0.5315504,-0.37150404,-0.33675015,0.8670261,-0.5315504,-0.45056695,0.74823207,0.8670261,-0.13757694,-0.3213848,1.687093,0.64405185,0.61868346,0.64405185,1.081942,2.6920524,1.0877885,0.7176568,1.0874087,1.086653,0.21152742,1.4977403,3.1450884,4.010237,3.217386,3.1317914,-0.25265446,1.9748315,1.8513548,3.9737043,1.0734082,4.0108366,1.0689131,1.0876768,1.6987131,1.0753267,1.0769768,0.52665126,-0.6228499,-0.6411676,0.0,-0.80753475,-0.7992249,3.4172237,-0.56463736,-0.3223858,-0.22256665,4.7768383,-0.24441491,-0.3367336,-0.21908905,-0.061898455,-0.21908905,-0.62333846,-0.3440133,-0.061898444,3.2758727,-0.2530184,-0.050507616,-0.21834165,2.2545798,0,4.131636274392724e-05
5,1.0112346,0.98726386,-0.1183141,1.8879957,1.0674683,-0.605991,0.97634614,1.0524594,1.1360439,0.60358304,-0.11409982,1.2376341,3.5886726,2.351365,0.24873768,-0.18854019,0.3199755,0.0,0.9941797,0.046836965,-0.8911,0.6133628,0.6739104,-0.049750574,0.99417984,0.04683696,-0.05039022,-0.54905343,-0.5315504,-0.37150404,-0.33675015,0.8670261,-0.5315504,-0.45056695,0.74823207,0.8670261,-0.13757694,-0.3213848,1.687093,0.64405185,0.61868346,0.64405185,1.081942,2.6920524,1.0877885,0.7176568,1.0874087,1.086653,0.21152742,1.4977403,3.1450884,4.010237,3.217386,3.1317914,-0.25265446,1.9748315,1.8513548,3.9737043,1.0734082,4.0108366,1.0689131,1.0876768,1.6987131,1.0753267,1.0769768,0.52665126,-0.6228499,-0.6411676,0.0,-0.80753475,-0.7992249,3.4172237,-0.56463736,-0.3223858,-0.22256665,4.7768383,-0.24441491,-0.3367336,-0.21908905,-0.061898455,-0.21908905,-0.62333846,-0.3440133,-0.061898444,3.2758727,-0.2530184,-0.050507616,-0.21834165,2.2545798,0,4.178622935368654e-05
6,1.0112346,0.98726386,-0.32682276,1.8879957,1.0674683,-0.605991,0.97634614,1.0524594,0.02022947,0.60358304,-1.6919837,1.2376341,3.5886726,2.351365,-0.43024486,-0.18854019,0.3199755,0.0,0.9941797,0.046836965,-0.40096387,0.6133628,0.6739104,1.8250965,0.99417984,0.04683696,1.8250126,-0.54905343,0.46320823,0.021801338,-0.33675015,0.8670261,0.4632082,-0.45056695,0.74823207,0.8670261,-0.13757694,-0.3213848,1.687093,0.64405185,0.61868346,0.64405185,1.081942,2.6920524,1.0877885,0.7176568,1.0874087,1.086653,0.21152742,1.4977403,3.1450884,4.010237,3.217386,3.1317914,-0.25265446,1.9748315,1.8513548,3.9737043,1.0734082,4.0108366,1.0689131,1.0876768,1.6987131,1.0753267,1.0769768,0.52665126,-0.6228499,-0.6411676,0.0,-0.80753475,-0.7992249,-0.2926352,-0.56463736,-0.3223858,-0.22256665,-0.20934352,-0.24441491,-0.3367336,-0.21908905,-0.061898455,-0.21908905,-0.62333846,-0.3440133,-0.061898444,-0.30526212,-0.2530184,-0.050507616,-0.21834165,2.2545798,0,2.210479532917302e-05
7,1.0112346,0.98726386,-0.32682276,1.8879957,1.0674683,-0.605991,0.97634614,1.0524594,0.02022947,0.60358304,-1.6988182,1.2376341,3.5886726,2.351365,-0.43024486,-0.18854019,0.3199755,0.0,0.9941797,0.046836965,-0.40096387,0.6133628,0.6739104,1.8250965,0.99417984,0.04683696,1.8250126,-0.54905343,0.46320823,0.021801338,-0.33675015,0.8670261,0.4632082,-0.45056695,0.74823207,0.8670261,-0.13757694,-0.3213848,1.687093,0.64405185,0.61868346,0.64405185,1.081942,2.6920524,1.0877885,0.7176568,1.0874087,1.086653,0.21152742,1.4977403,3.1450884,4.010237,3.217386,3.1317914,-0.25265446,1.9748315,1.8513548,3.9737043,1.0734082,4.0108366,1.0689131,1.0876768,1.6987131,1.0753267,1.0769768,0.52665126,-0.6228499,-0.6411676,0.0,-0.80753475,-0.7992249,-0.2926352,-0.56463736,-0.3223858,-0.22256665,-0.20934352,-0.24441491,-0.3367336,-0.21908905,-0.061898455,-0.21908905,-0.62333846,-0.3440133,-0.061898444,-0.30526212,-0.2530184,-0.050507616,-0.21834165,2.2545798,0,2.2079171589993723e-05
8,1.0112346,0.98726386,-0.32682276,1.8879957,1.0674683,-0.605991,0.97634614,1.0524594,0.02022947,0.60358304,-1.6851494,1.2376341,3.5886726,2.351365,-0.43024486,-0.18854019,0.3199755,0.0,0.9941797,0.046836965,-0.40096387,0.6133628,0.6739104,1.8250965,0.99417984,0.04683696,1.8250126,-0.54905343,0.46320823,0.021801338,-0.33675015,0.8670261,0.4632082,-0.45056695,0.74823207,0.8670261,-0.13757694,-0.3213848,1.687093,0.64405185,0.61868346,0.64405185,1.081942,2.6920524,1.0877885,0.7176568,1.0874087,1.086653,0.21152742,1.4977403,3.1450884,4.010237,3.217386,3.1317914,-0.25265446,1.9748315,1.8513548,3.9737043,1.0734082,4.0108366,1.0689131,1.0876768,1.6987131,1.0753267,1.0769768,0.52665126,-0.6228499,-0.6411676,0.0,-0.80753475,-0.7992249,-0.2926352,-0.56463736,-0.3223858,-0.22256665,-0.20934352,-0.24441491,-0.3367336,-0.21908905,-0.061898455,-0.21908905,-0.62333846,-0.3440133,-0.061898444,-0.30526212,-0.2530184,-0.050507616,-0.21834165,2.2545798,0,2.213044790961358e-05
9,1.0112346,0.98726386,-0.32682276,1.8879957,1.0674683,-0.605991,0.97634614,1.0524594,0.02022947,0.60358304,-1.678315,1.2376341,3.5886726,2.351365,-0.43024486,-0.18854019,0.3199755,0.0,0.9941797,0.046836965,-0.40096387,0.6133628,0.6739104,1.8250965,0.99417984,0.04683696,1.8250126,-0.54905343,0.46320823,0.021801338,-0.33675015,0.8670261,0.4632082,-0.45056695,0.74823207,0.8670261,-0.13757694,-0.3213848,1.687093,0.64405185,0.61868346,0.64405185,1.081942,2.6920524,1.0877885,0.7176568,1.0874087,1.086653,0.21152742,1.4977403,3.1450884,4.010237,3.217386,3.1317914,-0.25265446,1.9748315,1.8513548,3.9737043,1.0734082,4.0108366,1.0689131,1.0876768,1.6987131,1.0753267,1.0769768,0.52665126,-0.6228499,-0.6411676,0.0,-0.80753475,-0.7992249,-0.2926352,-0.56463736,-0.3223858,-0.22256665,-0.20934352,-0.24441491,-0.3367336,-0.21908905,-0.061898455,-0.21908905,-0.62333846,-0.3440133,-0.061898444,-0.30526212,-0.2530184,-0.050507616,-0.21834165,2.2545798,0,2.2156130707407977e-05
