,F67,F34,F103,F104,F94,F111,F116,F117,F121,F115,F77,F70,F40,F130,F1,F71,category,1
0,-0.15607703,-0.5045649,-0.3581017,-0.57322943,0.9941797,0.99417984,0.45327014,-0.5315504,-0.08734065,-0.3213848,0.15407497,0.15407492,-0.77780867,-0.5368253,1.1980149,-0.8289416,0,0.0005999455062552598
1,-0.15607703,1.5687106,-0.3581017,-0.57322943,0.9941797,0.99417984,1.4555937,0.57373697,1.7287908,-0.3213848,0.15407497,0.15407492,-0.77780867,-0.5368253,-0.62333846,-0.8289416,0,0.044080303399153205
2,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,-0.5315504,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,2.2554254016461217e-05
3,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,-0.5315504,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,2.2554254016461217e-05
4,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,-0.5315504,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,2.2554254016461217e-05
5,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,-0.5315504,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,2.2554254016461217e-05
6,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,4.57227578885704e-05
7,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,4.57227578885704e-05
8,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,4.57227578885704e-05
9,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,4.57227578885704e-05
