,F116,F121,F115,F70,F130,F1,category,1
0,0.45327014,-0.08734065,-0.3213848,0.15407492,-0.5368253,1.1980149,0,0.0007167398131844246
1,1.4555937,1.7287908,-0.3213848,0.15407492,-0.5368253,-0.62333846,0,0.00855689173507397
2,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
3,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
4,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
5,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
6,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
7,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
8,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
9,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
10,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
11,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
12,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
13,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
14,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
15,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
16,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
17,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
18,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
19,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
20,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
21,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
22,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
23,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
24,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
25,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
26,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
27,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
28,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
29,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
30,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
31,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
32,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
33,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
34,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
35,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
36,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
37,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
38,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
39,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
40,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
41,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
42,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
43,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
44,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
45,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
46,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
47,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.25265446,-0.62333846,0,2.0760938696472255e-05
48,-0.54905343,-0.45056695,-0.3213848,0.6001959,-0.5818768,-0.62333846,0,1.5388750481453186e-05
49,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.5818768,-0.62333846,0,1.5068492294124989e-05
50,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.5818768,-0.62333846,0,1.5068492294124989e-05
51,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.5818768,-0.62333846,0,1.5068492294124989e-05
52,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.5818768,-0.62333846,0,1.5068492294124989e-05
53,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.5818768,-0.62333846,0,1.5068492294124989e-05
54,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.5818768,-0.62333846,0,1.5068492294124989e-05
55,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.5818768,-0.62333846,0,1.5068492294124989e-05
56,-0.54905343,-0.45056695,-0.3213848,0.64405185,-0.5818768,-0.62333846,0,1.5068492294124989e-05
57,-0.54905343,-0.45056695,-0.3213848,0.52609444,-0.5818768,-0.62333846,0,1.5945418120110133e-05
58,-0.54905343,-0.45056695,-0.3213848,-0.6202095,-0.5818768,-0.62333846,0,2.762909886124222e-05
59,-0.54905343,-0.45056695,-0.3213848,0.52609444,-0.5818768,-0.62333846,0,1.5945418120110133e-05
60,-0.54905343,-0.45056695,-0.3213848,0.52609444,-0.5818768,-0.62333846,0,1.5945418120110133e-05
61,-0.54905343,-0.45056695,-0.3213848,-2.3230305,-0.54524153,-0.62333846,0,6.478546460474177e-05
