,F67,F104,F94,F116,F117,F121,F115,F70,F40,F130,F1,F71,category,1
0,-0.15607703,-0.57322943,0.9941797,0.45327014,-0.5315504,-0.08734065,-0.3213848,0.15407492,-0.77780867,-0.5368253,1.1980149,-0.8289416,0,0.0004982884259494587
1,-0.15607703,-0.57322943,0.9941797,1.4555937,0.57373697,1.7287908,-0.3213848,0.15407492,-0.77780867,-0.5368253,-0.62333846,-0.8289416,0,0.017933209319270033
2,-0.605991,2.351365,0.9941797,-0.54905343,-0.5315504,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,2.993180842068424e-05
3,-0.605991,2.351365,0.9941797,-0.54905343,-0.5315504,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,2.993180842068424e-05
4,-0.605991,2.351365,0.9941797,-0.54905343,-0.5315504,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,2.993180842068424e-05
5,-0.605991,2.351365,0.9941797,-0.54905343,-0.5315504,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,2.993180842068424e-05
6,-0.605991,2.351365,0.9941797,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.293849325506318e-05
7,-0.605991,2.351365,0.9941797,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.293849325506318e-05
8,-0.605991,2.351365,0.9941797,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.293849325506318e-05
9,-0.605991,2.351365,0.9941797,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.293849325506318e-05
10,-0.605991,2.351365,0.9941797,-0.54905343,0.46320823,-0.45056695,-0.3213848,0.64405185,2.6920524,-0.25265446,-0.62333846,2.2545798,0,5.293849325506318e-05
