,F65,F64,F34,F69,F68,F102,F103,F105,F108,F94,F95,F109,F23,F22,F111,F116,F117,F118,F120,F110,F121,F123,F114,F115,F61,F41,F40,F42,F45,F46,F127,F35,F131,F38,F37,F134,F39,F136,F146,F7,F12,F13,F18,F14,F1,F5,F11,category,1
0,-0.63241756,-0.7790405,-1.0586799,-0.38570926,-0.7400089,-0.88898325,-0.78623563,0.7670511,-0.8849096,-0.9257765,-0.6667066,-0.44301668,0.44771042,0.9631263,-0.9257764,-0.1472283,-0.43792647,-0.30126533,1.7533792,-0.4379264,-0.24871136,1.7533792,-0.9299314,-0.6877364,-0.5463455,-0.17577256,-0.27726105,-0.26709026,-0.08636365,-0.0296844,-0.5706758,-0.187615,-1.2818109,-0.20193073,-0.083002485,-0.89506644,-0.15242827,-0.8112592,-0.33817172,-0.18578252,-0.07990816,-0.08478924,-0.08359497,-0.07471743,-0.32707766,-0.25154018,-0.075915545,0,0.00039887501662742945
1,-0.08270979,-0.38978732,-1.0586799,-0.38570926,-0.32837903,-0.7236383,-0.086961515,0.7670511,-0.8849096,-1.1305362,-0.8697766,-0.44301668,0.44771042,0.9631263,-1.1305362,-0.1472283,-0.43792647,-0.30126533,1.7533792,-0.4379264,-0.24871136,1.7533792,-0.9299314,-0.6877364,-0.259668,-0.39531368,-0.4870455,-0.31890777,-0.37762898,-0.7817181,-0.53578794,-0.20393133,-0.55614954,-0.2588163,-0.17184673,-0.6099645,-0.14385693,-0.1283596,0.5684575,-0.18578252,-0.07990816,-0.08478924,-0.08359497,-0.07471743,-0.32707766,-0.25154018,-0.075915545,0,0.0003393686382361238
2,-0.30666482,-0.38978732,-1.0586799,-0.38570926,-0.32837903,-0.79325724,-0.2769377,0.7670511,-0.8849096,-1.1305362,-0.76824164,-0.44301668,0.44771042,0.9631263,-1.1305362,-0.1472283,-0.43792647,-0.30126533,1.7533792,-0.4379264,-0.24871136,1.7533792,-0.9299314,-0.6877364,-0.4114384,-0.39531368,-0.4870455,-0.31890777,-0.37762898,-0.7817181,-0.4460763,-0.20393133,-1.3333219,-0.2588163,-0.17184673,-0.6099645,-0.14385693,-0.1283596,0.5684575,-0.18578252,-0.07990816,-0.08478924,-0.08359497,-0.07471743,-0.32707766,-0.25154018,-0.075915545,0,0.0003854146044032057
3,-0.30666482,-0.38978732,-1.0586799,-0.38570926,-0.32837903,-0.79325724,-0.2769377,0.7670511,-0.8849096,-1.1305362,-0.76824164,-0.44301668,0.44771042,0.9631263,-1.1305362,-0.1472283,-0.43792647,-0.30126533,1.7533792,-0.4379264,-0.24871136,1.7533792,-0.9299314,-0.6877364,-0.4114384,-0.39531368,-0.4870455,-0.31890777,-0.37762898,-0.7817181,-0.4460763,-0.20393133,-1.3333219,-0.2588163,-0.17184673,-0.6099645,-0.14385693,-0.1283596,0.5684575,-0.18578252,-0.07990816,-0.08478924,-0.08359497,-0.07471743,-0.32707766,-0.25154018,-0.075915545,0,0.0003854146044032057
4,-0.36774346,-0.526163,-1.0586799,-0.38570926,-0.43128648,-0.7091344,0.09493059,0.7670511,-0.8849096,-0.6868901,-0.05749659,-0.44301668,0.44771042,0.9631263,-0.68689007,-0.1472283,-0.43792647,-0.30126533,1.7533792,-0.4379264,-0.24871136,1.7533792,-0.9299314,-0.6877364,-0.5632089,-0.39531368,-0.4870455,-0.31890777,-0.37762898,-0.7817181,-0.5407719,-0.20393133,-0.45266366,-0.2588163,-0.17184673,-0.04434755,-0.14385693,-0.59844595,2.237338,-0.18578252,-0.07990816,-0.08478924,-0.08359497,-0.07471743,-0.32707766,-0.25154018,-0.075915545,0,0.0008736156708098658
5,-0.48990074,-0.526163,-1.0586799,-0.38570926,-0.43128648,-0.8222651,-0.1799286,0.7670511,-0.8849096,-0.6868901,-0.56517166,-0.44301668,0.44771042,0.9631263,-0.68689007,-0.1472283,-0.43792647,-0.30126533,1.7533792,-0.4379264,-0.24871136,1.7533792,-0.9299314,-0.6877364,-0.4788919,-0.39531368,-0.4870455,-0.31890777,-0.37762898,-0.7817181,-0.42364842,-0.20393133,-1.2728487,-0.2588163,-0.17184673,-0.04434755,-0.14385693,-0.59844595,2.237338,-0.18578252,-0.07990816,-0.08478924,-0.08359497,-0.07471743,-0.32707766,-0.25154018,-0.075915545,0,0.0009656575099214861
6,-0.69349617,-0.6330705,-1.0586799,-0.38570926,0.057523917,-0.9121896,-0.8024038,0.7670511,-0.8849096,-1.1987895,-0.8697766,-0.44301668,0.44771042,0.9631263,-1.1987896,-0.1472283,-0.43792647,-0.30126533,1.7533792,-0.4379264,-0.24871136,1.7533792,-0.9299314,-0.6877364,-0.6306624,-0.39531368,-0.4870455,-0.31890777,-0.37762898,-0.7817181,-0.5681838,-0.20393133,0.22086406,-0.2588163,-0.17184673,-0.89294934,-0.14385693,-0.62482524,0.4271848,-0.18578252,-0.07990816,-0.08478924,-0.08359497,-0.07471743,-0.32707766,-0.25154018,-0.075915545,0,0.00020785602098958252
7,-0.5102602,-0.40897584,0.1311867,-0.38570926,-0.55992085,-0.700432,-0.48712412,-0.3976418,-0.8849096,-1.062283,-0.56517166,-0.44301668,0.44771042,0.9631263,-1.062283,-0.1472283,-0.43792647,-0.30126533,1.7533792,-0.4379264,-0.24871136,1.7533792,-0.9299314,-0.6877364,-0.22594123,-0.39324254,-0.4870455,-0.3141971,-0.37762898,-0.6367844,-0.523328,-0.20393133,-0.1996638,-0.2588163,-0.17184673,-0.5887936,-0.14385693,-0.58747923,-0.63624156,-0.18578252,-0.07990816,-0.08478924,-0.08359497,-0.07471743,-0.32707766,-0.25154018,-0.075915545,0,0.0002850125272630624
8,-0.5102602,-0.40897584,0.1311867,-0.38570926,-0.55992085,-0.700432,-0.48712412,-0.3976418,-0.8849096,-1.062283,-0.56517166,-0.44301668,0.44771042,0.9631263,-1.062283,-0.1472283,-0.43792647,-0.30126533,1.7533792,-0.4379264,-0.24871136,1.7533792,-0.9299314,-0.6877364,-0.22594123,-0.39324254,-0.4870455,-0.3141971,-0.37762898,-0.6367844,-0.523328,-0.20393133,-0.1996638,-0.2588163,-0.17184673,-0.5887936,-0.14385693,-0.58747923,-0.63624156,-0.18578252,-0.07990816,-0.08478924,-0.08359497,-0.07471743,-0.32707766,-0.25154018,-0.075915545,0,0.0002850125272630624
9,-0.5102602,-0.40897584,-0.16627996,-0.38570926,-0.55992085,-0.700432,-0.48712412,0.18470454,-0.8849096,-1.062283,-0.56517166,-0.44301668,0.44771042,0.9631263,-1.062283,-0.1472283,-0.43792647,-0.30126533,1.7533792,-0.4379264,-0.24871136,1.7533792,-0.9299314,-0.6877364,-0.22594123,-0.39324254,-0.4870455,-0.3141971,-0.37762898,-0.6367844,-0.523328,-0.20393133,-0.1996638,-0.2588163,-0.17184673,-0.5887936,-0.14385693,-0.58747923,-0.63624156,-0.18578252,-0.07990816,-0.08478924,-0.08359497,-0.07471743,-0.32707766,-0.25154018,-0.075915545,0,0.0002527408124085643
